disease,model,accuracy,precision,recall,f1,auc_roc,cv_auc_mean,cv_auc_std,cv_accuracy_mean,cv_accuracy_std
diabetes,Logistic Regression,0.7207792207792207,0.5873015873015873,0.6851851851851852,0.6324786324786325,0.7899999999999999,0.7823333333333333,0.1007753276683667,0.7033333333333334,0.08510206290749427
diabetes,Random Forest,0.7662337662337663,0.6551724137931034,0.7037037037037037,0.6785714285714286,0.8207407407407408,0.7988333333333334,0.060909997354931605,0.7541666666666667,0.09102044947275434
diabetes,ANN (MLP),0.7077922077922078,0.5569620253164557,0.8148148148148148,0.6616541353383458,0.8212962962962963,,,,
heart,Logistic Regression,0.7704918032786885,0.7435897435897436,0.8787878787878788,0.8055555555555556,0.8398268398268398,0.8805555555555555,0.11523593618161965,0.8071428571428572,0.13147083516455738
heart,Random Forest,0.7868852459016393,0.7380952380952381,0.9393939393939394,0.8266666666666667,0.8820346320346322,0.8083333333333333,0.16951273669324843,0.7404761904761905,0.16129085289942807
heart,ANN (MLP),0.7868852459016393,0.7631578947368421,0.8787878787878788,0.8169014084507042,0.8376623376623377,,,,
hypertension,Logistic Regression,0.6541666666666667,0.47,0.6103896103896104,0.5310734463276836,0.6985100788781771,0.7075498949579833,0.12259328744783932,0.7041666666666667,0.06833841444523635
hypertension,Random Forest,0.6625,0.46875,0.38961038961038963,0.425531914893617,0.6643693729583301,0.6519596901260505,0.10854927403047092,0.6625,0.057282196186947985
hypertension,ANN (MLP),0.5666666666666667,0.392,0.6363636363636364,0.48514851485148514,0.669189705999522,,,,
